,Pakistan all news websites
0,http://www.abyznewslinks.com/
1,seara.htm
2,admod.htm
3,resou.htm
4,about.htm
5,contc.htm
6,http://www.abyznewslinks.com/
7,asia.htm
8,soeas.htm
9,https://arynews.tv/en/
10,https://urdu.arynews.tv/
11,http://www.bbc.co.uk/urdu/
12,https://www.bolnews.com/
13,https://www.bolnews.com/urdu/
14,http://www.dw.de/عنوانات/s-11933
15,http://dunyanews.tv/
16,http://urdu.dunyanews.tv/
17,https://www.express.pk/
18,http://www.geo.tv/home
19,http://www.geo.tv/urdu/urdu.htm
20,http://www.radio.gov.pk/
21,http://news.ptv.com.pk/
22,https://www.samaa.tv
23,https://www.samaa.tv/urdu/
24,http://www.urduvoa.com/
25,http://www.asportsnews.com/
26,http://alqamar.info/news/
27,http://www.allpakistaninews.com/
28,http://www.aycworldnews.com/
29,http://www.bordertimespk.com/
30,http://www.dannka.com/
31,http://www.enews.pk/
32,https://news.google.com/news/?ned=en_pk
33,https://googlynews.tv/
34,http://www.hipakistan.com/
35,http://jang.com.pk/
36,http://www.thekooza.com/
37,http://www.myurdunews.com/
38,https://newslink.pk/
39,https://newspakistan.tv/
40,http://www.onepakistan.com.pk/
41,http://pakistan.onepakistan.com.pk/urdunews/
42,https://onlineindus.com/
43,https://onlineindus.com/Sindhi/
44,https://onlineindus.com/Urdu/
45,http://www.onlinenews.com.pk/
46,http://www.paktribune.com/
47,http://www.pakwatan.com/
48,http://www.pakwatan.com/urdu.php
49,http://www.pakistannews.net/
50,http://www.newsonlinepakistan.org/
51,http://thepakistaninewspaper.com/
52,http://www.pakistans.com/
53,https://www.pknewstoday.tk/
54,http://www.roznamaurdu.com/
55,http://www.roznamaurdu.com.pk/
56,http://www.seharnews.pk/
57,http://www.shanakht.com/
58,https://urduglobally.com/
59,http://www.urdunamah.com/
60,http://www.urdunews.net.pk/
61,http://www.urdupoint.com/
62,https://www.urduvoz.com/
63,http://www.walayat.net/
64,http://www.akhbar-e-jehan.com/
65,http://herald.dawn.com/
66,http://www.newslinemagazine.com/
67,http://www.pakistaneconomist.com/
68,http://www.weeklycuttingedge.com/
69,http://www.brecorder.com/
70,http://jang.com.pk/jang/index.html
71,http://www.khabraingroup.com/
72,http://www.nawaiwaqt.com.pk/
73,http://www.dawn.com/
74,http://www.thenews.com.pk/Default.aspx
75,http://www.app.com.pk/en_/index.php?option=com_content&task=blogcategory&id=50&Itemid=62
76,http://www.app.com.pk/en_/
77,http://www.app.com.pk/ud_/
78,http://www.nni-news.com/
79,http://www.kotlinews.com/
80,http://www.mahasib.com.pk/index.php?action=epaper&id=main&station=mir&page=1
81,http://www.mirpurnews.co/
82,http://www.mirpurtimes.com/
83,http://www.cashmerenews.net/
84,http://heights.com.pk/
85,http://www.mahasib.com.pk/index.php?action=epaper&id=main&station=muz&page=1
86,http://www.muzaffarabadnews.com/
87,http://thebalochhal.com/
88,http://aftabnewspaper.com/
89,http://www.dailybaakhabar.com/
90,http://www.dailyintekhab.com.pk/
91,http://www.dailymeezan.com/
92,http://alakhbar.com.pk/
93,http://www.dailyausaf.com/
94,http://dailykhabarnama.com/
95,http://www.dailymadaar.com/
96,http://www.dailymailnews.com/
97,http://dailyuniversal.com.pk/
98,http://www.k2times.com/
99,http://www.dailynht.com/epaper/
100,http://pakobserver.net
101,http://www.statesman.com.pk/
102,http://dailyaaj.com.pk/epaper/
103,http://www.dailyakhbar.com.pk/abbottabad.php?nav_id=4
104,http://sargaram.com/
105,http://www.hazaranews.com/
106,http://www.chitralnews.com/
107,http://www.nowshera.com/
108,http://dailyaaj.com.pk/epaper/
109,http://www.dailyakhbar.com.pk/peshawar.php?nav_id=4
110,http://www.akhbarekhyber.com/
111,http://www.dailymashriq.com.pk/
112,http://www.dailywahdat.com.pk/
113,http://thefrontierpost.com/
114,http://www.dhudialnews.com/
115,http://www.dailypunjab.com/
116,http://www.dinatimes.com/
117,http://www.gujarkhannews.com/
118,http://www.dailyfai.com/
119,http://www.apnajpj.com/
120,http://jhelumgeo.com/
121,https://www.jhelumupdates.pk/
122,http://aajkal.com.pk/
123,http://dailyaap.com/
124,http://www.abtak.com.pk/
125,http://www.dunya.com.pk/
126,http://www.khabraingroup.com/
127,http://www.dailylahorepost.com/current/
128,http://www.millat.com/
129,http://www.nawaiwaqt.com.pk/
130,http://dailypakistan.com.pk/
131,http://www.dailytimes.com.pk/
132,http://www.thefridaytimes.com/beta2/tft/
133,http://lahoredispatch.com/
134,http://nation.com.pk/
135,http://www.pakistantoday.com.pk/
136,https://www.alislam.org/alfazl/
137,http://www.alqalamonline.com/
138,http://www.dailyasas.com.pk/
139,http://www.dailyibrat.com/
140,http://www.thekawish.com/
141,http://www.businessmennews.com/
142,http://www.brecorder.com/
143,http://awamiawaz.com/
144,https://basharat.com.pk/
145,http://jang.com.pk/jang/index.html
146,http://www.jasarat.com/
147,http://www.ummat.com.pk/
148,http://www.dawn.com/
149,https://www.express.com.pk/
150,https://tribune.com.pk/
151,http://www.thefinancialdaily.com/
152,http://www.karachi.com/
153,http://www.karachinews.net/
154,http://www.kohetoor.com/
155,http://nawa-e-islam.com/
156,http://www.thenews.com.pk/Default.aspx
157,http://regionaltimes.com/
158,http://dailynijat.com/
